realization	parameter	index	value
0	kd	0	
0	kd	1	
0	kd	2	
0	kd	3	
0	kd	4	
0	kd	5	
0	kd	6	
0	kd	7	
0	kd	8	
0	kd	9	
0	kd	10	
0	kf	0	0.3995257094326855
0	kf	1	0.07432263266665065
0	kf	2	0.1273586959679313
0	kf	3	0.8087942211828759
0	kf	4	0.6542145621992744
0	kf	5	0.2889512926412064
0	kf	6	0.1712743413181464
0	kf	7	1.0
0	kf	8	0.6896281190388364
0	kf	9	0.6928002146178762
0	kf	10	0.9121317817447634
1	kd	0	
1	kd	1	
1	kd	2	
1	kd	3	
1	kd	4	
1	kd	5	
1	kd	6	
1	kd	7	
1	kf	0	0.08515153433524543
1	kf	1	0.09677478825014746
1	kf	2	1.0
1	kf	3	0.1923957886751973
1	kf	4	0.27014281514323435
1	kf	5	0.5860071947308266
1	kf	6	0.8631660454639125
1	kf	7	0.4994889680566212
2	kd	0	
2	kd	1	
2	kf	0	0.4624687951044039
2	kf	1	1.0
3	kd	0	
3	kd	1	
3	kd	2	
3	kd	3	
3	kf	0	1.0
3	kf	1	0.5030046028543009
3	kf	2	0.04286391786577219
3	kf	3	0.14842997723865758
4	kd	0	
4	kd	1	
4	kd	2	
4	kd	3	
4	kd	4	
4	kd	5	
4	kd	6	
4	kf	0	0.5919193146405685
4	kf	1	0.3600539033186733
4	kf	2	0.25910474580453136
4	kf	3	0.29993834659958946
4	kf	4	1.0
4	kf	5	0.47163047287987947
4	kf	6	0.8365437346577772
5	kd	0	
5	kd	1	
5	kd	2	
5	kd	3	
5	kd	4	
5	kf	0	0.8527374568914357
5	kf	1	0.171600835649508
5	kf	2	0.37682594180889306
5	kf	3	0.6273847639642711
5	kf	4	1.0
6	kd	0	
6	kd	1	
6	kd	2	
6	kd	3	
6	kd	4	
6	kf	0	0.9028225208636097
6	kf	1	0.31525311062481826
6	kf	2	1.0
6	kf	3	0.6536716587902939
6	kf	4	0.12355172374040899
7	kd	0	
7	kd	1	
7	kd	2	
7	kd	3	
7	kd	4	
7	kd	5	
7	kd	6	
7	kf	0	0.22499046310985577
7	kf	1	1.0
7	kf	2	0.9148243389724282
7	kf	3	0.8827181018570261
7	kf	4	0.554129966409033
7	kf	5	0.374976546455884
7	kf	6	0.791286168088625
8	kd	0	
8	kd	1	
8	kd	2	
8	kf	0	0.5332832641207905
8	kf	1	0.7249413214155631
8	kf	2	1.0
9	kd	0	
9	kd	1	
9	kd	2	
9	kd	3	
9	kd	4	
9	kd	5	
9	kd	6	
9	kf	0	0.3323579963912476
9	kf	1	0.4586828931940984
9	kf	2	0.06668961904427047
9	kf	3	0.563671936532394
9	kf	4	0.5137885890337551
9	kf	5	0.004812503111317729
9	kf	6	1.0
10	kd	0	
10	kd	1	
10	kd	2	
10	kd	3	
10	kd	4	
10	kd	5	
10	kd	6	
10	kf	0	0.8955696357851411
10	kf	1	0.2765226907671568
10	kf	2	1.0
10	kf	3	0.9774148007403181
10	kf	4	0.7174820778574835
10	kf	5	0.22294743533605757
10	kf	6	0.7068035785881195
11	kd	0	
11	kd	1	
11	kd	2	
11	kd	3	
11	kd	4	
11	kd	5	
11	kd	6	
11	kd	7	
11	kd	8	
11	kd	9	
11	kf	0	0.4193903081218347
11	kf	1	0.25207929190308814
11	kf	2	1.0
11	kf	3	0.9012090151283134
11	kf	4	0.30398123904626556
11	kf	5	0.7406783843032567
11	kf	6	0.9498902164568707
11	kf	7	0.7010857610201509
11	kf	8	0.31237604047516343
11	kf	9	0.10728496602104232
12	kd	0	
12	kd	1	
12	kd	2	
12	kd	3	
12	kd	4	
12	kd	5	
12	kd	6	
12	kd	7	
12	kf	0	0.1651140040271083
12	kf	1	0.44185311342055555
12	kf	2	1.0
12	kf	3	0.9810619484954262
12	kf	4	0.4817433882562393
12	kf	5	0.7967566016169112
12	kf	6	0.42987476017522197
12	kf	7	0.09360640405128404
13	kd	0	
13	kd	1	
13	kd	2	
13	kf	0	1.0
13	kf	1	0.012262429744367625
13	kf	2	0.9472744415307762
14	kd	0	
14	kd	1	
14	kd	2	
14	kd	3	
14	kd	4	
14	kd	5	
14	kd	6	
14	kd	7	
14	kd	8	
14	kf	0	0.7481892430555688
14	kf	1	0.34691716829602864
14	kf	2	1.0
14	kf	3	0.21221275884860452
14	kf	4	0.5665278912049986
14	kf	5	0.3568144843674445
14	kf	6	0.049923880291704296
14	kf	7	0.012850200551880957
14	kf	8	0.0028288616623873106
15	kd	0	
15	kd	1	
15	kd	2	
15	kd	3	
15	kd	4	
15	kd	5	
15	kd	6	
15	kd	7	
15	kd	8	
15	kd	9	
15	kd	10	
15	kf	0	0.4093880724755785
15	kf	1	0.4630441791450915
15	kf	2	0.3861257147969542
15	kf	3	0.060575270041850295
15	kf	4	0.5658510925485909
15	kf	5	0.391750373494356
15	kf	6	1.0
15	kf	7	0.5020273835992066
15	kf	8	0.018848451778026905
15	kf	9	0.15666138582347752
15	kf	10	0.0002999531787900008
16	kd	0	
