realization	alpha	beta	mu	mu_low
0	0.9999999970197677	0.9999999970197677	0.0	-5.0
1	0.999999996806894	0.999999996806894	0.0	-7.0
2	0.9999999970197677	0.9999999970197677	0.0	-5.0
3	1.9999999950329461	1.9999999950329461	5.999999970197677	-6.0
4	0.8164965813048184	0.8164965813048184	-0.7340136747807264	-4.0
5	1.9999999972060323	1.9999999972060323	3.999999988824129	-4.0
6	1.4142135614529252	1.4142135614529252	3.3137084916234016	-8.0
7	1.3247179547324777	1.3247179547324777	1.2988718189299107	-4.0
8	1.5213797044008972	1.5213797044008972	3.6496579308062804	-7.0
9	1.4142135600559413	1.4142135600559413	1.6568542402237654	-4.0
10	1.4142135636260114	1.4142135636260114	2.485281381756068	-6.0
11	1.4142135636260114	1.4142135636260114	1.6568542545040454	-4.0
12	0.9999999976716936	0.9999999976716936	0.0	-4.0
13	1.618033985607326	1.618033985607326	4.944271884858608	-8.0
14	1.509755332954228	1.509755332954228	2.0390213318169117	-4.0
15	0.8164965836331248	0.8164965836331248	-0.9175170818343759	-5.0
16	1.6589670814573765	1.6589670814573765	1.9769012443721294	-3.0
17	1.259921052493155	1.259921052493155	1.55952631495893	-6.0
18	0.9999999976716936	0.9999999976716936	0.0	-5.0
19	1.3145962107926605	1.3145962107926605	1.5729810539633027	-5.0
20	0.9999999962747097	0.9999999962747097	0.0	-4.0
21	1.68428527796641	1.68428527796641	2.7371411118656397	-4.0
22	1.1649957777311406	1.1649957777311406	0.6599831109245624	-4.0
23	1.6180339874699712	1.6180339874699712	1.8541019624099135	-3.0
24	1.7692923496166864	1.7692923496166864	4.615754097700118	-6.0
25	0.9999999950329462	0.9999999950329462	0.0	-3.0
26	1.0000000029802323	0.9999999970197677	0.0	-5.0
27	1.7692923536524177	1.7692923536524177	4.615754121914506	-6.0
28	1.4142135642466376	1.4142135642466376	2.071067821233188	-5.0
29	1.2008367532065933	1.2008367532065933	1.4058572724461533	-7.0
30	1.2408746862784028	1.2408746862784028	0.7226240588352084	-3.0
31	1.0000000009313226	1.0000000009313226	0.0	-6.0
32	1.2918503759428859	1.2918503759428859	0.5837007518857718	-2.0
33	1.4142135630051293	1.4142135630051293	1.242640689015388	-3.0
34	1.618033990263939	1.618033990263939	1.8541019707918167	-3.0
35	1.1687708937873444	1.1687708937873444	0.5063126813620333	-3.0
36	1.4142135630051293	1.4142135630051293	1.242640689015388	-3.0
37	0.9999999950329462	0.9999999950329462	0.0	-3.0
38	1.3247179593890905	1.3247179593890905	0.9741538781672716	-3.0
39	1.5811388278380036	1.5811388278380036	3.486832967028022	-6.0
40	1.9999999955296517	1.9999999955296517	4.999999977648258	-5.0
41	1.2599210483022034	1.2599210483022034	1.299605241511017	-5.0
42	0.9999999962747097	0.9999999962747097	0.0	-4.0
43	1.0000000037252903	1.0000000037252903	0.0	-2.0
44	1.0	1.0	0.0	-1.0
45	0.9999999950329462	0.9999999950329462	0.0	-3.0
46	1.0000000029802323	0.9999999970197677	0.0	-5.0
47	1.6762571958824992	1.6762571958824992	4.057543175294995	-6.0
48	0.7071067802608013	0.7071067802608013	-0.5857864394783974	-2.0
49	1.7320508112510045	1.7320508112510045	5.1243556787570315	-7.0
50	1.4142135636260114	1.4142135636260114	2.8994949453820795	-7.0
51	1.9999999962747097	1.9999999962747097	2.999999988824129	-3.0
52	1.0000000006208818	1.0000000006208818	0.0	-5.0
53	1.1303954324685037	1.1303954324685037	0.5215817298740149	-4.0
54	1.9999999972060323	1.9999999972060323	5.999999983236194	-6.0
55	1.3344573426991697	1.3344573426991697	1.6722867134958486	-5.0
56	1.0	1.0	0.0	-2.0
57	0.9999999950329462	0.9999999950329462	0.0	-3.0
58	1.9999999973922968	1.9999999973922968	4.999999986961484	-5.0
59	1.414213564246893	1.414213564246893	0.8284271284937859	-2.0
60	0.9999999972060323	0.9999999972060323	0.0	-5.0
61	1.9999999950329461	1.9999999950329461	2.9999999850988384	-3.0
62	1.414213564619422	1.414213564619422	2.8994949523359543	-7.0
63	0.7427920013666152	0.7427920013666152	-1.543247991800309	-6.0
64	1.4142135614529252	1.4142135614529252	0.8284271229058504	-2.0
65	1.259921052493155	1.259921052493155	0.779763157479465	-3.0
66	1.3247179593890905	1.3247179593890905	1.2988718375563622	-4.0
67	1.414213564991951	1.414213564991951	2.071067824959755	-5.0
68	1.4142135636260114	1.4142135636260114	2.485281381756068	-6.0
69	1.9999999956538281	1.9999999956538281	5.999999973922969	-6.0
70	1.4142135651782155	1.4142135651782155	1.656854260712862	-4.0
71	1.9999999962747097	1.9999999962747097	4.9999999813735485	-5.0
72	1.9999999956538281	1.9999999956538281	5.999999973922969	-6.0
73	0.9999999950329462	0.9999999950329462	0.0	-3.0
74	1.9999999955296517	1.9999999955296517	5.999999973177911	-6.0
75	1.0000000009313226	1.0000000009313226	0.0	-6.0
76	1.9999999965075403	1.9999999965075403	7.999999972060323	-8.0
77	1.0000000026077034	1.0000000026077034	0.0	-5.0
78	1.1914878813549876	1.1914878813549876	0.38297576270997524	-2.0
79	1.0000000026077034	1.0000000026077034	0.0	-5.0
80	1.0000000049670537	0.9999999950329462	0.0	-3.0
81	0.7937005287967622	0.7937005287967622	-0.8251978848129511	-4.0
82	1.9999999950329461	1.9999999950329461	2.9999999850988384	-3.0
