realization	parameter	index	value
0	kd	0	
0	kd	1	
0	kd	2	
0	kd	3	
0	kd	4	
0	kd	5	
0	kf	0	0.8989675712026971
0	kf	1	0.6000304784222934
0	kf	2	0.39857399878710076
0	kf	3	1.0
0	kf	4	0.04433324151729658
0	kf	5	0.07059097628242421
1	kd	0	
1	kd	1	
1	kd	2	
1	kd	3	
1	kd	4	
1	kd	5	
1	kd	6	
1	kd	7	
1	kd	8	
1	kd	9	
1	kd	10	
1	kf	0	0.09506546924360393
1	kf	1	0.5118004728393183
1	kf	2	0.8690897680129442
1	kf	3	0.8813300151209854
1	kf	4	0.7109465257812372
1	kf	5	0.6680764817147951
1	kf	6	0.3278569258487158
1	kf	7	0.1521961313393015
1	kf	8	0.03639693159108659
1	kf	9	0.6333126658096472
1	kf	10	1.0
2	kd	0	
2	kd	1	
2	kd	2	
2	kd	3	
2	kd	4	
2	kf	0	0.605558905197385
2	kf	1	0.3256203981502812
2	kf	2	0.9284361011025645
2	kf	3	0.9866086184879491
2	kf	4	1.0
3	kd	0	
3	kd	1	
3	kd	2	
3	kd	3	
3	kd	4	
3	kd	5	
3	kd	6	
3	kf	0	0.22834431163027027
3	kf	1	0.07899971626829932
3	kf	2	0.4124549650838754
3	kf	3	1.0
3	kf	4	0.1504843755163698
3	kf	5	0.2413112982859739
3	kf	6	0.24271024460413954
4	kd	0	
4	kd	1	
4	kd	2	
4	kd	3	
4	kd	4	
4	kd	5	
4	kd	6	
4	kd	7	
4	kd	8	
4	kd	9	
4	kf	0	0.29146792835111757
4	kf	1	0.9462042692227702
4	kf	2	1.0
4	kf	3	0.473243183718233
4	kf	4	0.838789138074725
4	kf	5	0.034949032907345516
4	kf	6	0.2194053315450356
4	kf	7	0.6537771393814574
4	kf	8	0.8905577233903982
4	kf	9	0.9566775783283626
5	kd	0	
5	kd	1	
5	kd	2	
5	kd	3	
5	kd	4	
5	kd	5	
5	kd	6	
5	kd	7	
5	kd	8	
5	kf	0	0.21477693695585434
5	kf	1	0.9645908798799326
5	kf	2	0.27419208138029333
5	kf	3	0.9527681627540194
5	kf	4	0.350846064449599
5	kf	5	1.0
5	kf	6	0.7265093854948746
5	kf	7	0.19963434392413174
5	kf	8	0.9250056798098151
6	kd	0	
6	kd	1	
6	kd	2	
6	kd	3	
6	kd	4	
6	kd	5	
6	kd	6	
6	kd	7	
6	kf	0	0.43397442707414186
6	kf	1	0.5251316052924676
6	kf	2	0.325568878522858
6	kf	3	0.7772303293248045
6	kf	4	0.19294554863866506
6	kf	5	1.0
6	kf	6	0.5102032005150786
6	kf	7	0.1820584360583262
7	kd	0	
7	kd	1	
7	kd	2	
7	kd	3	
7	kd	4	
7	kd	5	
7	kd	6	
7	kf	0	0.714010988210679
7	kf	1	0.5649880959659859
7	kf	2	0.906612112575787
7	kf	3	0.5264672299088077
7	kf	4	1.0
7	kf	5	0.925545086813152
7	kf	6	0.37533220967764735
8	kd	0	
8	kd	1	
8	kd	2	
8	kd	3	
8	kd	4	
8	kd	5	
8	kd	6	
8	kd	7	
8	kd	8	
8	kd	9	
8	kd	10	
8	kf	0	0.12034018280792917
8	kf	1	0.7357993813191327
8	kf	2	0.3798225608188645
8	kf	3	1.0
8	kf	4	0.5804137955078111
8	kf	5	0.41119684218521735
8	kf	6	0.3566897704767944
8	kf	7	0.3712612717073798
8	kf	8	0.6224276499359798
8	kf	9	0.4537342981467367
8	kf	10	0.9885516035445995
9	kd	0	
9	kd	1	
9	kd	2	
9	kd	3	
9	kd	4	
9	kd	5	
9	kd	6	
9	kd	7	
9	kd	8	
9	kd	9	
9	kf	0	0.4881512187869525
9	kf	1	0.01312447263680547
9	kf	2	0.814270426992018
9	kf	3	0.43789710599421816
9	kf	4	0.10006419402339999
9	kf	5	0.8849554537058976
9	kf	6	1.0
9	kf	7	0.3560305151018981
9	kf	8	0.9033580708402631
9	kf	9	0.11972035189436982
10	kd	0	
10	kd	1	
10	kd	2	
10	kd	3	
10	kd	4	
10	kd	5	
10	kd	6	
10	kd	7	
10	kd	8	
10	kd	9	
10	kd	10	
10	kf	0	0.7970092101424375
10	kf	1	0.46302564205978153
10	kf	2	0.25609222629252343
10	kf	3	0.7433440165905504
10	kf	4	0.6809218982041518
10	kf	5	1.0
10	kf	6	0.022828903127284132
10	kf	7	0.13642512378437868
10	kf	8	0.01723269518974284
10	kf	9	0.7820207358601265
10	kf	10	0.7206767869094042
11	kd	0	
11	kd	1	
11	kd	2	
11	kd	3	
11	kd	4	
11	kd	5	
11	kd	6	
11	kf	0	0.9246377637267281
11	kf	1	0.32433334494617133
11	kf	2	1.0
11	kf	3	0.5704581209672739
11	kf	4	0.30681617927678084
11	kf	5	0.68119924536202
11	kf	6	0.0322808323275952
12	kd	0	
12	kd	1	
12	kd	2	
12	kd	3	
12	kd	4	
12	kd	5	
12	kd	6	
12	kd	7	
12	kd	8	
12	kd	9	
12	kd	10	
12	kf	0	0.44040868903628977
