realization	alpha	beta	mu	mu_low	lambda	delta	lambda_tilde	violation
0	1.0357	1.0357	0.1787	-5.0000	-0.0090	0.0357	-0.0018	False
1	1.4142	1.4142	2.4853	-6.0000	-0.0000	0.4142	-0.0000	False
2	1.4142	1.4142	1.2426	-3.0000	0.3203	0.4142	0.1068	False
3	2.0000	2.0000	6.0000	-6.0000	0.1386	1.0000	0.0231	False
4	1.0000	1.0000	0.0000	-4.0000	0.0000	-0.0000	0.0000	False
5	1.6590	1.6590	3.9538	-6.0000	0.1477	0.6590	0.0246	False
6	1.0000	1.0000	0.0000	-4.0000	-0.1893	-0.0000	-0.0473	False
7	1.0000	1.0000	0.0000	-5.0000	-0.0202	-0.0000	-0.0040	False
8	0.6180	0.6180	-1.1459	-3.0000	-0.0000	-0.3820	-0.0000	False
9	1.5214	1.5214	2.6069	-5.0000	0.3533	0.5214	0.0707	False
10	1.7106	1.7106	3.5532	-5.0000	0.2494	0.7106	0.0499	False
11	1.0000	1.0000	0.0000	-3.0000	-0.0375	0.0000	-0.0125	False
12	1.3247	1.3247	0.6494	-2.0000	0.1768	0.3247	0.0884	False
13	1.4142	1.4142	2.0711	-5.0000	-0.1025	0.4142	-0.0205	False
14	0.8393	0.8393	-0.4821	-3.0000	-0.0773	-0.1607	-0.0258	False
15	1.0000	0.7937	0.0000	-4.0000	0.0000	0.0000	0.0000	False
16	1.7963	1.7963	3.9816	-5.0000	0.1434	0.7963	0.0287	False
17	1.6180	1.6180	3.7082	-6.0000	0.1427	0.6180	0.0238	False
18	1.6180	1.6180	3.7082	-6.0000	0.1673	0.6180	0.0279	False
19	1.4142	1.4142	2.0711	-5.0000	-0.0014	0.4142	-0.0003	False
20	2.0000	2.0000	6.0000	-6.0000	0.5490	1.0000	0.0915	False
21	1.0000	1.0000	0.0000	-5.0000	0.0000	0.0000	0.0000	False
22	1.4142	1.4142	3.7279	-9.0000	0.1046	0.4142	0.0116	False
23	1.0000	1.0000	0.0000	-8.0000	-0.1395	-0.0000	-0.0174	False
24	1.4142	1.4142	1.2426	-3.0000	-0.0884	0.4142	-0.0295	False
25	0.8882	0.8882	-0.4473	-4.0000	0.0000	-0.1118	0.0000	False
26	2.0000	2.0000	3.0000	-3.0000	0.6356	1.0000	0.2119	False
27	1.3247	1.3247	0.9742	-3.0000	0.1119	0.3247	0.0373	False
28	0.7071	0.7071	-1.1716	-4.0000	-0.4968	-0.2929	-0.1242	False
29	1.7321	1.7321	3.6603	-5.0000	0.0676	0.7321	0.0135	False
30	1.6590	1.6590	3.9538	-6.0000	0.3609	0.6590	0.0601	False
31	2.0000	2.0000	4.0000	-4.0000	0.8233	1.0000	0.2058	False
32	2.0000	2.0000	3.0000	-3.0000	0.0240	1.0000	0.0080	False
33	1.2808	1.2808	1.9654	-7.0000	0.0270	0.2808	0.0039	False
34	0.9112	0.9112	-0.4442	-5.0000	0.0000	-0.0888	0.0000	False
35	0.8393	0.7071	-0.9643	-6.0000	0.0000	-0.1607	0.0000	False
36	1.4142	1.4142	2.4853	-6.0000	0.0406	0.4142	0.0068	False
37	1.4142	1.4142	1.2426	-3.0000	0.1686	0.4142	0.0562	False
38	1.0000	1.0000	0.0000	-4.0000	-0.0616	-0.0000	-0.0154	False
39	2.0000	2.0000	5.0000	-5.0000	0.8699	1.0000	0.1740	False
40	1.5443	1.5443	2.1771	-4.0000	0.1526	0.5443	0.0382	False
41	1.1200	1.1200	0.6001	-5.0000	0.0028	0.1200	0.0006	False
